Id,Label,Count
张中,张中,4
冷谦,冷谦,45
杨左使,杨左使,72
圆真大师,圆真大师,10
任教主,任教主,129
小昭,小昭,329
空闻神僧,空闻神僧,4
木灵子,木灵子,1
曾少侠,曾少侠,21
胡青羊,胡青羊,5
高老者,高老者,80
辛然,辛然,11
闻苍松,闻苍松,4
张教主,张教主,158
静空,静空,5
唐洋,唐洋,6
吴六破,吴六破,2
赵一伤,赵一伤,4
钱二败,钱二败,5
孙三毁,孙三毁,9
李四摧,李四摧,7
周五输,周五输,1
郑七灭,郑七灭,1
王八衰,王八衰,2
赵钱孙,赵钱孙,179
赵敏,赵敏,1007
空智神僧,空智神僧,6
阿二,阿二,28
阿三,阿三,62
刚相,刚相,1
方东白,方东白,17
摩诃巴思,摩诃巴思,7
鹿杖客,鹿杖客,211
鹤笔翁,鹤笔翁,159
范遥,范遥,227
范右使,范右使,31
察罕特穆尔,察罕特穆尔,7
绍敏郡主,绍敏郡主,8
王保保,王保保,58
乌旺阿普,乌旺阿普,17
拖雷,拖雷,259
忽必烈,忽必烈,174
哈总管,哈总管,11
小王爷,小王爷,191
殷离,殷离,159
季长老,季长老,6
郑长老,郑长老,19
陈友谅,陈友谅,197
流云使,流云使,39
妙风使,妙风使,48
辉月使,辉月使,34
韩千叶,韩千叶,20
平等宝树王,平等宝树王,2
俱明宝树王,俱明宝树王,1
齐心宝树王,齐心宝树王,1
宝树,宝树,188
常胜宝树王,常胜宝树王,1
耶律帮主,耶律帮主,2
掌钵龙头,掌钵龙头,49
掌棒龙头,掌棒龙头,75
执法长老,执法长老,77
传功长老,传功长老,67
韩林儿,韩林儿,82
王姑娘,王姑娘,195
小虹,小虹,3
小玲,小玲,1
史红石,史红石,17
刘敖,刘敖,1
周掌门,周掌门,5
敏妹,敏妹,36
秦老五,秦老五,13
寿南山,寿南山,12
杜百当,杜百当,20
易三娘,易三娘,37
马法通,马法通,17
邵鹤,邵鹤,8
邵燕,邵燕,2
渡厄,渡厄,80
渡难,渡难,61
郝密,郝密,2
卜泰,卜泰,3
夏胄,夏胄,28
司徒千钟,司徒千钟,36
叶长青,叶长青,4
欧阳牧之,欧阳牧之,3
静迦,静迦,9
静慧,静慧,17
太虚子,太虚子,2
静照,静照,12
